No,id,version,lat,lon,°æµµ,Áö¹øÁÖ¼Ò,µµ·Î¸íÁÖ¼Ò
1,471660647,2,35.1928845,126.8135258,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1346,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 8
2,683621678,1,35.1940705,126.8128113,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1308,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´ö·Î 34-1
3,721786983,1,35.1925826,126.8137275,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1342,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 2-5
4,721786984,1,35.1926189,126.8135233,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1345,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 6
5,721786985,1,35.1932515,126.8132539,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1311,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 15
6,721786986,1,35.1932518,126.8130239,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1312,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 17
7,721786987,1,35.1932592,126.8127916,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1313,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 19
8,721786988,1,35.1932583,126.8125464,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1314,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 21
9,721786989,1,35.1932663,126.812368,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1315,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 23
10,721786990,1,35.1932478,126.8121458,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1316,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 23-1
11,721786991,1,35.1934574,126.8129856,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1351,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 18
12,721786992,1,35.1934711,126.8127176,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1352,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 20
13,721786993,1,35.1934646,126.8124932,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1353,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 22
14,721786994,1,35.1936119,126.8127559,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1349,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 32
15,721786995,1,35.1936343,126.8124555,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1348,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 30
16,721786996,1,35.1936073,126.8121516,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1318,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 27-2
17,721786997,1,35.1937984,126.8121543,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1319,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 27-1
18,721786998,1,35.1934497,126.8121904,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1317,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 25
19,721786999,1,35.1937953,126.8128964,,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Àå´öµ¿ 1323,±¤ÁÖ±¤¿ª½Ã ±¤»ê±¸ Ç³¿µ·Î229¹ø¾È±æ 35
